vessel_imo,mmsi,start_date,end_date
9234501,345200008,2012-01-02 03:22:52+00:00,2020-02-02 21:44:20+00:00
9234642,215339000,2012-01-18 12:28:10+00:00,2018-12-14 04:30:20+00:00
9235684,273440170,2012-10-15 20:33:53+00:00,2024-08-13 11:49:41+00:00
9235713,239997000,2012-01-14 01:13:18+00:00,2022-05-07 07:12:51+00:00
9235725,237943000,2012-01-08 19:48:54+00:00,2021-08-12 19:01:39+00:00
9236004,239998000,2012-01-08 19:09:59+00:00,2018-11-16 05:03:01+00:00
9236016,240275000,2012-01-03 02:02:39+00:00,2018-11-22 04:39:00+00:00
9236353,308172000,2012-01-01 04:22:02+00:00,2020-02-06 08:15:14+00:00
9236640,256123000,2014-12-18 13:51:55+00:00,2022-08-27 10:18:53+00:00
9236743,273210220,2019-10-06 12:55:33+00:00,2024-08-31 23:57:15+00:00
9236755,215171000,2012-01-03 04:47:31+00:00,2022-01-15 13:56:43+00:00
9237228,620999375,2024-06-09 07:27:28+00:00,2024-08-31 07:48:50+00:00
9237412,419506000,2012-02-06 17:57:03+00:00,2023-07-07 01:54:13+00:00
9239642,574451000,2012-01-06 07:58:52+00:00,2022-12-22 12:28:45+00:00
9240407,373930000,2012-01-31 22:07:17+00:00,2023-04-27 17:21:21+00:00
9240885,565362000,2016-01-05 16:21:44+00:00,2020-08-14 05:44:40+00:00
9242118,636091120,2012-01-06 23:11:08+00:00,2018-06-27 07:11:04+00:00
9242120,636091174,2012-02-24 16:49:15+00:00,2018-06-03 08:38:55+00:00
9242223,566622000,2016-07-14 12:19:01+00:00,2022-11-19 01:07:46+00:00
9246475,538090298,2012-01-20 11:03:53+00:00,2020-02-06 12:45:22+00:00
9247065,325934000,2018-03-26 06:39:42+00:00,2020-11-30 03:49:02+00:00
9247431,636017877,2017-03-22 01:45:22+00:00,2021-06-07 10:22:08+00:00
9247778,220558000,2012-01-05 04:59:54+00:00,2019-08-19 15:21:16+00:00
9247780,636015934,2013-01-11 08:55:03+00:00,2023-04-07 07:01:05+00:00
9247792,636015976,2013-03-21 06:49:04+00:00,2020-03-13 14:07:03+00:00
9247883,518999140,2024-04-05 13:20:25+00:00,2024-08-31 21:38:47+00:00
9248796,215311000,2012-01-01 00:03:55+00:00,2022-07-30 08:03:35+00:00
9248801,256337000,2012-01-03 23:27:04+00:00,2022-06-27 18:57:40+00:00
9248849,538001836,2012-12-30 15:37:57+00:00,2018-12-20 16:53:44+00:00
9249087,636018127,2017-07-14 11:55:34+00:00,2022-11-21 02:43:07+00:00
9249128,210750000,2012-01-06 08:50:52+00:00,2022-11-29 10:15:55+00:00
9249130,209863000,2012-01-22 23:56:18+00:00,2021-08-13 06:40:40+00:00
9249312,636019335,2019-05-29 07:37:44+00:00,2022-01-09 09:56:45+00:00
9249324,636019340,2019-05-23 14:08:03+00:00,2022-07-26 01:52:53+00:00
9250531,240158000,2012-06-19 18:47:27+00:00,2021-06-15 19:57:34+00:00
9250543,240190000,2012-01-11 02:38:41+00:00,2021-05-26 08:59:07+00:00
9250892,667002308,2024-06-27 03:48:15+00:00,2024-08-31 23:56:11+00:00
9250907,563393000,2012-02-18 08:26:20+00:00,2020-12-11 08:05:50+00:00
9251274,403524000,2017-03-06 08:48:57+00:00,2022-11-16 03:14:39+00:00
9251456,538090300,2012-01-13 20:18:19+00:00,2019-10-22 08:01:41+00:00
9251810,636015933,2013-01-08 06:13:55+00:00,2023-06-22 08:40:44+00:00
9252400,241231000,2012-11-30 15:30:05+00:00,2023-02-16 14:57:19+00:00
9253076,574005150,2021-03-13 09:09:01+00:00,2024-08-07 14:06:36+00:00
9253234,538002071,2013-05-13 08:31:32+00:00,2023-03-01 13:46:28+00:00
9253313,564041000,2012-01-21 07:46:23+00:00,2021-05-22 10:44:24+00:00
9253325,636016080,2013-11-26 01:57:26+00:00,2022-01-08 04:58:12+00:00
9253595,215329000,2013-12-20 10:50:00+00:00,2023-05-15 09:21:37+00:00
9253894,538090231,2012-01-01 17:35:20+00:00,2022-01-05 15:46:28+00:00
9253909,538090232,2012-01-18 16:55:29+00:00,2022-01-05 15:39:33+00:00
9254915,354951000,2020-12-17 08:41:08+00:00,2024-07-22 04:57:34+00:00
9255244,367393000,2012-08-30 18:33:19+00:00,2023-06-26 01:18:41+00:00
9255268,273414670,2018-07-03 11:42:01+00:00,2024-08-31 23:15:13+00:00
9255270,266431000,2015-09-07 01:49:51+00:00,2021-12-30 13:08:05+00:00
9255660,215535000,2012-01-08 14:09:15+00:00,2023-05-27 12:38:52+00:00
9255672,215545000,2012-01-03 16:40:16+00:00,2024-04-04 13:13:54+00:00
9255830,574322000,2012-01-18 06:15:27+00:00,2021-12-20 12:47:38+00:00
9256028,209890000,2013-07-15 03:37:34+00:00,2020-07-10 00:43:01+00:00
9256054,636011640,2012-01-01 00:39:27+00:00,2024-01-03 09:39:38+00:00
9256066,636011641,2012-01-03 13:02:05+00:00,2023-12-25 10:05:31+00:00
9256078,636011642,2012-01-03 16:47:29+00:00,2024-01-04 05:05:30+00:00
9256913,636011655,2012-01-02 20:33:24+00:00,2021-06-29 16:54:46+00:00
9257022,636018540,2018-03-14 08:55:37+00:00,2023-01-19 02:04:05+00:00
9257137,240056000,2012-01-01 02:29:56+00:00,2022-01-31 04:09:58+00:00
9257814,463035101,2012-07-25 13:47:47+00:00,2023-01-04 08:22:03+00:00
9257993,352980858,2021-11-29 16:17:03+00:00,2023-06-07 15:11:11+00:00
9258002,636011916,2012-01-01 12:48:11+00:00,2024-01-16 10:02:36+00:00
9258026,229316000,2013-01-23 08:54:41+00:00,2021-09-16 08:25:23+00:00
9258167,636011643,2012-01-03 22:21:51+00:00,2024-01-12 13:07:34+00:00
9258868,538007679,2017-09-24 06:17:18+00:00,2021-04-07 11:55:20+00:00
9258870,248084000,2017-02-22 22:47:27+00:00,2018-07-12 08:58:50+00:00
9258882,538007678,2017-09-28 06:21:18+00:00,2021-06-01 02:35:27+00:00
9259185,477760900,2012-01-01 07:44:29+00:00,2020-01-13 03:36:42+00:00
9259197,538005593,2014-04-11 03:05:33+00:00,2019-10-25 03:11:49+00:00
9259599,636016693,2014-09-22 07:43:47+00:00,2021-05-24 11:30:07+00:00
