vessel_imo,start,end,duration_hrs,lat_off,lon_off,lat_on,lon_on
9256028,2024-03-24 03:00:55.000000,2024-05-08 14:57:55.000000,1091.95,33.83615,27.21815,31.515246666666666,32.36561833333333
9256078,2023-09-26 09:31:27.000000,2023-09-28 17:36:20.000000,56.06666666666667,8.81445,70.644305,5.97579,81.73500166666666
9258026,2022-01-22 18:54:20.000000,2022-01-23 12:17:37.000000,17.383333333333333,32.1045166667,-46.3847666667,32.471716666666666,-42.603883333333336
9258026,2022-03-14 12:05:04.000000,2022-03-15 13:23:42.000000,25.3,30.062183333333333,-60.35985,31.129633333333334,-65.33311666666667
9258026,2022-04-16 03:13:49.000000,2022-04-17 18:11:32.000000,38.95,36.928333333333335,-63.135333333333335,39.49735,-52.58793333333333
9258026,2023-02-15 10:29:41.000000,2023-03-02 23:20:44.000000,372.85,24.435316666666665,-19.79705,-25.639033333333334,-48.253566666666664
9258026,2023-05-07 12:57:36.000000,2023-05-10 11:30:44.000000,70.55,12.424866666666667,59.77068333333333,7.1878166666666665,74.6383
9258167,2024-08-04 05:55:13.000000,2024-08-05 04:24:07.000000,22.466666666666665,34.79690333333333,28.622098333333334,31.966035,31.68948333333333
9258882,2023-05-04 10:03:03.000000,2023-05-05 00:01:27.000000,13.966666666666667,14.200338333333333,52.60569,14.201038333333333,52.608125
9258882,2023-09-21 06:40:40.000000,2023-09-21 22:51:13.000000,16.166666666666668,12.570371666666666,59.18832666666667,11.577598333333333,62.25913166666667
9259185,2024-02-13 13:11:56.000000,2024-02-15 13:39:09.000000,48.45,9.58655,70.73421666666667,11.782716666666667,60.71661666666667
9259733,2022-05-10 06:50:09.000000,2022-05-15 01:32:27.010000,114.7,11.03803,70.64502333333333,6.261186666666666,94.01031833333333
9259745,2024-01-29 16:30:01.000000,2024-01-30 05:06:17.000000,12.6,67.33083666666667,8.476145,68.92692333333333,12.539751666666668
9260275,2022-04-04 06:44:03.000000,2022-04-05 07:20:34.000000,24.6,-20.704786666666667,-3.615705,-20.032946666666668,-4.448226666666667
9260275,2022-04-05 12:20:08.000000,2022-04-10 14:10:58.000000,121.83333333333333,-19.41055666666667,-5.42755,-3.5538833333333333,-27.771743333333333
9260823,2024-01-27 07:46:42.000000,2024-01-28 03:36:10.000000,19.816666666666666,11.30067,64.37445,12.569531666666666,60.298831666666665
9262170,2024-02-22 11:29:44.000000,2024-02-23 00:10:57.000000,12.683333333333334,54.498995,151.90314166666667,54.36915833333333,152.050945
9262170,2024-03-17 11:35:15.000000,2024-03-18 02:09:51.000000,14.566666666666666,54.62871833333333,152.155365,55.0027,152.41123166666668
9262170,2024-03-29 18:38:15.000000,2024-03-30 08:10:40.000000,13.533333333333333,56.31164,147.624,56.40081,147.36090333333334
9264570,2022-07-07 03:30:24.445783,2022-07-13 08:54:43.620000,149.4,44.48513333333333,-11.959566666666667,40.64225,-13.367166666666666
