vessel_imo,flag,start_date,end_date
9199713,Liberia,2009-07-01,2019-01-01
9199713,Marshall Islands,2019-01-01,2021-04-01
9199713,Djibouti,2021-04-01,2021-05-01
9199713,Palau (Republic of),2021-05-01,2021-09-01
9199713,Not Known,2021-09-01,2021-11-01
9199713,Palau (Republic of),2021-11-01,2022-09-01
9199713,Djibouti,2022-09-01,2024-03-01
9199713,Palau (Republic of),2024-03-01,
9205067,Bahrain,2001-01-01,2001-01-01
9205067,Kuwait,2001-01-01,2015-07-01
9205067,Liberia,2015-07-01,2021-03-01
9205067,Cameroon,2021-03-01,2023-10-01
9205067,Palau (Republic of),2023-10-01,2024-03-01
9205067,Cook islands,2024-03-01,
9206671,Cayman Islands,2001-01-01,2005-01-01
9206671,Bahamas,2005-01-01,2020-12-01
9206671,Norway (NIS),2020-12-01,2021-06-01
9206671,Liberia,2021-06-01,2022-03-01
9206671,Cameroon,2022-03-01,
9207027,Liberia,2014-02-01,2020-11-01
9207027,Cameroon,2020-11-01,
9208069,Greece,2002-12-01,2007-09-01
9208069,India,2007-09-01,2020-12-01
9208069,Panama,2020-12-01,
9208124,Cyprus,2001-12-01,2001-12-01
9208124,Germany,2001-12-01,2016-06-01
9208124,Germany,2016-06-01,2016-06-01
9208124,Portugal (MAR),2016-06-01,2019-10-01
9208124,Liberia,2019-10-01,2022-10-01
9208124,Palau (Republic of),2022-10-01,
9209972,India,2005-03-01,2020-08-01
9209972,Gabon,2020-08-01,2023-03-01
9209972,Palau (Republic of),2023-03-01,
9211896,Malta,2001-04-01,2004-01-01
9211896,Russia,2004-01-01,2013-05-01
9211896,Russia,2013-05-01,2013-05-01
9211896,Malta,2013-05-01,
9211999,Malta,2013-06-01,2022-05-01
9211999,Russia,2022-05-01,
9212008,Malta,2013-05-01,2022-05-01
9212008,Russia,2022-05-01,
9213296,Marshall Islands,2001-02-01,2006-09-01
9213296,Canada,2006-09-01,2012-10-01
9213296,Marshall Islands,2012-10-01,2018-11-01
9213296,Liberia,2018-11-01,2018-11-01
9213296,Comoros,2018-11-01,2019-05-01
9213296,Panama,2019-05-01,2024-08-01
9213296,Not Known,2024-08-01,
9213313,Marshall Islands,2001-10-01,2020-11-01
9213313,Cameroon,2020-11-01,2022-01-01
9213313,Palau (Republic of),2022-01-01,2022-10-01
9213313,Guinea-Bissau,2022-10-01,2023-01-01
9213313,Not Known,2023-01-01,2023-03-01
9213313,Panama,2023-03-01,2024-01-01
9213313,Gabon,2024-01-01,
9215098,Italy,2002-01-01,2005-08-01
9215098,Denmark (DIS),2005-08-01,2018-11-01
9215098,Panama,2018-11-01,2018-12-01
9215098,"Hong Kong, China",2018-12-01,
9217319,Malta,2002-04-01,2003-03-01
9217319,Turkey,2003-03-01,2013-04-01
9217319,Russia,2013-04-01,
9217321,Turkey,2001-01-01,2002-02-01
9217321,Sweden,2002-02-01,2006-10-01
9217321,United States of America,2006-10-01,2012-07-01
9217321,Dominica,2012-07-01,2012-09-01
9217321,Russia,2012-09-01,2022-06-01
9217321,Russia,2022-06-01,2022-06-01
9217321,Sierra leone,2022-06-01,2022-06-01
9217321,Dominica,2022-06-01,
9218181,Liberia,2019-12-01,2020-11-01
9218181,Palau (Republic of),2020-11-01,
9220938,Italy,2001-09-01,2020-12-01
9220938,Palau (Republic of),2020-12-01,2022-06-01
9220938,Cook islands,2022-06-01,
9222560,Singapore,2000-01-01,2008-07-01
9222560,Marshall Islands,2008-07-01,2011-03-01
9222560,Mexico,2011-03-01,2015-02-01
9222560,Liberia,2015-02-01,2017-05-01
9222560,Mexico,2017-05-01,2020-02-01
9222560,Panama,2020-02-01,
9224283,Marshall Islands,2002-08-01,2022-07-01
9224283,St.Kitts and Nevis,2022-07-01,2023-05-01
9224283,Cook islands,2023-05-01,2023-06-01
9224283,Togo,2023-06-01,2023-08-01
9224283,Cook islands,2023-08-01,
9224441,Liberia,2002-03-01,2023-10-01
9224441,Panama,2023-10-01,
9224465,Liberia,2002-08-01,2023-10-01
9224465,Panama,2023-10-01,
9227443,Malta,2002-01-01,2021-02-01
9227443,Gabon,2021-02-01,2021-04-01
9227443,Vietnam,2021-04-01,2024-07-01
9227443,Sierra leone,2024-07-01,
9228332,Malta,2001-03-01,2001-05-01
9228332,Malta,2001-05-01,2001-05-01
9228332,Cyprus,2001-05-01,2004-01-01
9228332,Russia,2004-01-01,2013-05-01
9228332,Russia,2013-05-01,2013-05-01
9228332,Malta,2013-05-01,
9229374,Greece,2002-06-01,2009-02-01
9229374,Liberia,2009-02-01,2021-05-01
9229374,Cameroon,2021-05-01,
9230971,Denmark (DIS),2001-01-01,2007-03-01
9230971,Liberia,2007-03-01,2007-03-01
9230971,Germany,2007-03-01,2014-11-01
9230971,Liberia,2014-11-01,2014-11-01
9230971,Germany,2014-11-01,2020-07-01
9230971,Panama,2020-07-01,
9231212,Bahamas,2002-02-01,2011-07-01
9231212,Malta,2011-07-01,2021-09-01
9231212,Panama,2021-09-01,
9231468,Denmark (DIS),2002-01-01,2002-05-01
9231468,Panama,2002-05-01,2002-10-01
9231468,Norway (NIS),2002-10-01,2015-06-01
9231468,Liberia,2015-06-01,2023-02-01
9231468,Palau (Republic of),2023-02-01,
9231509,Liberia,2002-11-01,2022-04-01
9231509,Gabon,2022-04-01,2022-06-01
9231509,Liberia,2022-06-01,2022-12-01
9231509,Belize,2022-12-01,
9231767,Malta,2002-06-01,2021-06-01
9231767,Palau (Republic of),2021-06-01,2022-09-01
9231767,Liberia,2022-09-01,2024-03-01
9231767,Antigua and Barbuda,2024-03-01,
9232888,Liberia,2003-02-01,2023-02-01
9232888,Palau (Republic of),2023-02-01,2024-06-01
9232888,Cook islands,2024-06-01,
9232929,Marshall Islands,2002-12-01,2002-12-01
9232929,Germany,2002-12-01,2006-01-01
9232929,Germany,2006-01-01,2011-02-01
9232929,Malta,2011-02-01,2020-09-01
9232929,Cyprus,2020-09-01,2020-09-01
9232929,Malta,2020-09-01,2020-09-01
9232929,Germany,2020-09-01,2023-03-01
9232929,Liberia,2023-03-01,2024-02-01
9232929,Antigua and Barbuda,2024-02-01,
9232931,Norway (NIS),2003-01-01,2003-10-01
9232931,Marshall Islands,2003-10-01,2003-10-01
9232931,Germany,2003-10-01,2008-11-01
9232931,Norway (NIS),2008-11-01,2020-09-01
9232931,Marshall Islands,2020-09-01,2023-05-01
9232931,Panama,2023-05-01,
9233349,Marshall Islands,2011-08-01,2019-08-01
9233349,Panama,2019-08-01,2020-01-01
9233349,Not Known,2020-01-01,2020-03-01
9233349,Djibouti,2020-03-01,2022-11-01
9233349,Not Known,2022-11-01,2023-01-01
9233349,Belize,2023-01-01,
9233741,Cayman Islands,2003-06-01,2003-06-01
9233741,Germany,2003-06-01,2010-06-01
9233741,Liberia,2010-06-01,2010-06-01
9233741,Germany,2010-06-01,2021-04-01
9233741,Vietnam,2021-04-01,2021-04-01
9233741,Vietnam,2021-04-01,2021-04-01
9233741,Germany,2021-04-01,2024-07-01
9233741,Sierra leone,2024-07-01,
9233765,Marshall Islands,2003-01-01,2024-03-01
9233765,Panama,2024-03-01,
9234501,Croatia,2002-01-01,2004-08-01
9234501,Liberia,2004-08-01,2005-07-01
9234501,Mexico,2005-07-01,2020-01-01
9234501,Panama,2020-01-01,
9234642,Malta,2003-01-01,2020-11-01
9234642,Panama,2020-11-01,2024-06-01
9234642,Liberia,2024-06-01,2024-07-01
9234642,Palau (Republic of),2024-07-01,2024-09-01
9234642,Liberia,2024-09-01,
9235684,Russia,2000-11-01,2003-09-01
9235684,Malta,2003-09-01,2004-01-01
9235684,Malta,2004-01-01,2004-01-01
9235684,Russia,2004-01-01,2013-05-01
9235684,Russia,2013-05-01,
9235713,Greece,2003-01-01,2022-04-01
9235713,Panama,2022-04-01,
9235725,Greece,2003-04-01,2021-08-01
9235725,Panama,2021-08-01,
9236004,Greece,2002-01-01,2018-11-01
9236004,Liberia,2018-11-01,2021-06-01
9236004,Panama,2021-06-01,
9236016,Greece,2003-01-01,2003-07-01
9236016,Malta,2003-07-01,2004-12-01
9236016,Greece,2004-12-01,2018-11-01
9236016,Liberia,2018-11-01,2018-11-01
9236016,Liberia,2018-11-01,2020-02-01
9236016,Panama,2020-02-01,2020-10-01
9236016,Cyprus,2020-10-01,2022-12-01
9236016,Liberia,2022-12-01,2024-03-01
9236016,Antigua and Barbuda,2024-03-01,
9236353,Greece,2003-01-01,2004-08-01
