vessel_imo,flag,start_date,end_date
9259745,Liberia,2022-08-01,2022-11-01
9259745,Panama,2022-11-01,
9259991,Greece,2003-05-01,2005-06-01
9259991,Malta,2005-06-01,2005-06-01
9259991,Germany,2005-06-01,2023-03-01
9259991,Marshall Islands,2023-03-01,2023-03-01
9259991,Germany,2023-03-01,2024-03-01
9259991,Panama,2024-03-01,
9260275,Marshall Islands,2004-01-01,2004-01-01
9260275,Germany,2004-01-01,2015-10-01
9260275,Panama,2015-10-01,2015-10-01
9260275,Germany,2015-10-01,2024-08-01
9260275,Sierra leone,2024-08-01,
9260823,Italy,2004-03-01,2020-10-01
9260823,Vietnam,2020-10-01,2024-07-01
9260823,Sierra leone,2024-07-01,
9261401,Greece,2003-11-01,2005-06-01
9261401,Malta,2005-06-01,2005-06-01
9261401,Germany,2005-06-01,2023-03-01
9261401,Marshall Islands,2023-03-01,2023-03-01
9261401,Germany,2023-03-01,2024-03-01
9261401,Barbados,2024-03-01,
9261657,United Kingdom,2004-03-01,2008-12-01
9261657,Denmark (DIS),2008-12-01,2009-09-01
9261657,Gibraltar,2009-09-01,2016-08-01
9261657,"Hong Kong, China",2016-08-01,2023-12-01
9261657,Palau (Republic of),2023-12-01,2024-04-01
9261657,Cook islands,2024-04-01,
9262170,Turkey,2004-01-01,2014-09-01
9262170,Belize,2014-09-01,2014-11-01
9262170,Belize,2014-11-01,2014-11-01
9262170,Russia,2014-11-01,2019-03-01
9262170,Russia,2019-03-01,
9262924,Greece,2002-09-01,2002-09-01
9262924,Greece,2002-09-01,2006-05-01
9262924,Marshall Islands,2006-05-01,2012-06-01
9262924,Malta,2012-06-01,2021-01-01
9262924,Panama,2021-01-01,2024-08-01
9262924,Sierra leone,2024-08-01,
9263186,Cyprus,2004-01-01,2014-12-01
9263186,Singapore,2014-12-01,2022-07-01
9263186,Marshall Islands,2022-07-01,2024-03-01
9263186,Guinea-Bissau,2024-03-01,
9263198,Cyprus,2004-01-01,2014-12-01
9263198,Singapore,2014-12-01,2022-08-01
9263198,Marshall Islands,2022-08-01,2024-03-01
9263198,Guinea-Bissau,2024-03-01,
9263203,Cyprus,2004-01-01,2014-12-01
9263203,Singapore,2014-12-01,2022-07-01
9263203,Marshall Islands,2022-07-01,2024-03-01
9263203,Guinea-Bissau,2024-03-01,
9263643,"Hong Kong, China",2003-11-01,2007-11-01
9263643,Singapore,2007-11-01,2018-04-01
9263643,Panama,2018-04-01,2019-11-01
9263643,Liberia,2019-11-01,2021-02-01
9263643,Palau (Republic of),2021-02-01,2021-11-01
9263643,Cook islands,2021-11-01,
9264570,Panama,2002-01-01,2003-07-01
9264570,"Hong Kong, China",2003-07-01,2014-11-01
9264570,Liberia,2014-11-01,2020-06-01
9264570,Panama,2020-06-01,
9265756,Cyprus,2005-06-01,2011-09-01
9265756,"Hong Kong, China",2011-09-01,2022-06-01
9265756,Marshall Islands,2022-06-01,2024-03-01
9265756,Barbados,2024-03-01,
9265873,Cyprus,2004-01-01,2006-05-01
9265873,Marshall Islands,2006-05-01,2023-05-01
9265873,Palau (Republic of),2023-05-01,2024-04-01
9265873,Cook islands,2024-04-01,
9265885,Cyprus,2004-03-01,2006-01-01
9265885,Marshall Islands,2006-01-01,2017-11-01
9265885,Liberia,2017-11-01,2023-02-01
9265885,Palau (Republic of),2023-02-01,2024-06-01
9265885,Sierra leone,2024-06-01,
9266475,Panama,2003-01-01,2014-09-01
9266475,Marshall Islands,2014-09-01,2023-03-01
9266475,Palau (Republic of),2023-03-01,
9266750,Liberia,2004-11-01,2019-01-01
9266750,Panama,2019-01-01,2023-03-01
9266750,Liberia,2023-03-01,2024-07-01
9266750,Barbados,2024-07-01,
9266762,Liberia,2005-04-01,2018-10-01
9266762,Panama,2018-10-01,2019-06-01
9266762,Liberia,2019-06-01,
9266853,Isle of Man,2004-01-01,2016-02-01
9266853,Marshall Islands,2016-02-01,2024-03-01
9266853,Panama,2024-03-01,
9268112,Bahamas,2003-09-01,2016-03-01
9268112,Liberia,2016-03-01,2022-03-01
9268112,Panama,2022-03-01,2024-02-01
9268112,Gabon,2024-02-01,
9269257,Malta,2004-03-01,2005-11-01
9269257,Marshall Islands,2005-11-01,2011-12-01
9269257,Bermuda,2011-12-01,2014-07-01
9269257,Singapore,2014-07-01,2022-07-01
9269257,Liberia,2022-07-01,2023-12-01
9269257,Antigua and Barbuda,2023-12-01,
9269350,Russia,2004-01-01,
9269403,Italy,2003-08-01,2022-07-01
9269403,Cook islands,2022-07-01,
9270517,Liberia,2003-08-01,2022-02-01
9270517,Panama,2022-02-01,2024-05-01
9270517,Not Known,2024-05-01,2024-07-01
9270517,Cook islands,2024-07-01,
9270529,Liberia,2003-10-01,2024-01-01
9270529,Gabon,2024-01-01,2024-04-01
9270529,Russia,2024-04-01,
9270749,Panama,2004-10-01,2013-08-01
9270749,India,2013-08-01,2024-01-01
9270749,Barbados,2024-01-01,2024-01-01
9270749,Marshall Islands,2024-01-01,
9271327,Liberia,2003-03-01,2003-03-01
9271327,Germany,2003-03-01,2022-05-01
9271327,Liberia,2022-05-01,2022-05-01
9271327,Germany,2022-05-01,2024-02-01
9271327,Antigua and Barbuda,2024-02-01,
9271573,Portugal (MAR),2004-05-01,2022-07-01
9271573,Panama,2022-07-01,
9271585,Portugal (MAR),2004-01-01,2012-03-01
9271585,Liberia,2012-03-01,2023-01-01
9271585,St.Kitts and Nevis,2023-01-01,2023-04-01
9271585,Gabon,2023-04-01,
9271951,Liberia,2004-09-01,2010-10-01
9271951,Marshall Islands,2010-10-01,2019-03-01
9271951,Liberia,2019-03-01,2019-09-01
9271951,Panama,2019-09-01,
9272931,Liberia,2004-09-01,2017-02-01
9272931,Panama,2017-02-01,2023-02-01
9272931,St.Kitts and Nevis,2023-02-01,2023-05-01
9272931,Cook islands,2023-05-01,2024-09-01
9272931,Gabon,2024-09-01,
9273052,Singapore,2003-01-01,2003-01-01
9273052,Japan,2003-01-01,2010-09-01
9273052,Panama,2010-09-01,2021-03-01
9273052,Gabon,2021-03-01,2021-07-01
9273052,Liberia,2021-07-01,2022-12-01
9273052,Gabon,2022-12-01,
9273442,Cyprus,2004-02-01,2006-03-01
9273442,Liberia,2006-03-01,2006-03-01
9273442,Germany,2006-03-01,2015-06-01
9273442,Marshall Islands,2015-06-01,2015-06-01
9273442,Germany,2015-06-01,2024-03-01
9273442,Guinea-Bissau,2024-03-01,
9274434,Greece,2003-10-01,2018-11-01
9274434,Liberia,2018-11-01,2022-07-01
9274434,St.Kitts and Nevis,2022-07-01,2023-04-01
9274434,Gabon,2023-04-01,
9274446,Greece,2004-01-01,2019-01-01
9274446,Liberia,2019-01-01,2024-04-01
9274446,Not Known,2024-04-01,
9274616,Cyprus,2004-01-01,2018-09-01
9274616,Malta,2018-09-01,2021-01-01
9274616,Tuvalu,2021-01-01,2022-09-01
9274616,Liberia,2022-09-01,2024-04-01
9274616,Not Known,2024-04-01,
9274666,Isle of Man,2005-06-01,2008-05-01
9274666,Norway (NIS),2008-05-01,2009-09-01
9274666,Faroe Islands,2009-09-01,2022-10-01
9274666,Marshall Islands,2022-10-01,2024-03-01
9274666,Panama,2024-03-01,
9274800,Cyprus,2004-01-01,2018-09-01
9274800,Malta,2018-09-01,2022-12-01
9274800,St.Kitts and Nevis,2022-12-01,2023-04-01
9274800,Gabon,2023-04-01,
9275402,Liberia,2004-03-01,
9275658,Isle of Man,2004-04-01,2024-04-01
9275658,"Hong Kong, China",2024-04-01,
9275763,Cyprus,2004-01-01,2005-06-01
9275763,Marshall Islands,2005-06-01,2009-06-01
9275763,Italy,2009-06-01,2023-01-01
9275763,Malta,2023-01-01,2023-02-01
9275763,Marshall Islands,2023-02-01,2024-03-01
9275763,Panama,2024-03-01,
9275995,Panama,2003-01-01,2011-01-01
9275995,Marshall Islands,2011-01-01,2011-11-01
9275995,"Hong Kong, China",2011-11-01,
9276028,Malta,2004-04-01,2021-05-01
9276028,Liberia,2021-05-01,2024-01-01
9276028,Gabon,2024-01-01,
9276030,Malta,2004-05-01,2021-06-01
9276030,Liberia,2021-06-01,2024-01-01
9276030,Gabon,2024-01-01,
9277735,Denmark (DIS),2004-01-01,2011-01-01
9277735,Bahamas,2011-01-01,2014-02-01
9277735,Greece,2014-02-01,2020-05-01
9277735,Liberia,2020-05-01,2022-12-01
9277735,Marshall Islands,2022-12-01,2024-04-01
9277735,Guinea-Bissau,2024-04-01,
9277747,Cyprus,2004-01-01,2021-02-01
9277747,Panama,2021-02-01,2022-03-01
9277747,Cameroon,2022-03-01,2022-07-01
9277747,Liberia,2022-07-01,2024-08-01
9277747,Cook islands,2024-08-01,
9277759,Cyprus,2004-04-01,2021-01-01
9277759,Panama,2021-01-01,2022-04-01
9277759,Cameroon,2022-04-01,2022-09-01
9277759,Liberia,2022-09-01,
9277761,Cyprus,2004-01-01,2021-12-01
9277761,Panama,2021-12-01,2024-05-01
9277761,Not Known,2024-05-01,
9277773,Cyprus,2004-04-01,2023-01-01
9277773,Marshall Islands,2023-01-01,2024-08-01
9277773,Panama,2024-08-01,
9278064,Isle of Man,2004-06-01,2019-09-01
9278064,Singapore,2019-09-01,2023-06-01
9278064,Palau (Republic of),2023-06-01,2024-06-01
9278064,Cook islands,2024-06-01,
9278959,Malta,2002-10-01,2004-02-01
9278959,Russia,2004-02-01,
9279719,Panama,2004-03-01,2004-03-01
9279719,Philippines,2004-03-01,2004-03-01
9279719,Panama,2004-03-01,2013-01-01
9279719,Malta,2013-01-01,2024-01-01
9279719,Antigua and Barbuda,2024-01-01,
9280586,Cyprus,2003-04-01,2006-03-01
9280586,Liberia,2006-03-01,2006-03-01
9280586,Germany,2006-03-01,2015-06-01
9280586,Marshall Islands,2015-06-01,2015-06-01
9280586,Germany,2015-06-01,2024-03-01
9280586,Panama,2024-03-01,
9281011,Bahamas,2004-08-01,2016-03-01
9281011,Liberia,2016-03-01,2022-08-01
9281011,St.Kitts and Nevis,2022-08-01,2023-05-01
9281011,Not Known,2023-05-01,2023-05-01
9281011,Mongolia,2023-05-01,2023-06-01
9281011,Gabon,2023-06-01,
9281425,Bahamas,2005-01-01,2023-05-01
9281425,Marshall Islands,2023-05-01,2024-03-01
9281425,Guinea-Bissau,2024-03-01,
9281891,Panama,2003-09-01,2012-11-01
9281891,Liberia,2012-11-01,2023-03-01
9281891,Panama,2023-03-01,
9282041,Bahamas,2004-04-01,2022-04-01
9282041,Panama,2022-04-01,
9282479,Isle of Man,2005-01-01,2018-10-01
9282479,Marshall Islands,2018-10-01,2022-06-01
9282479,Panama,2022-06-01,
9282481,Isle of Man,2005-03-01,2018-12-01
9282481,Marshall Islands,2018-12-01,2022-12-01
9282481,Panama,2022-12-01,
9282493,Isle of Man,2005-04-01,2018-11-01
9282493,Marshall Islands,2018-11-01,2022-09-01
9282493,Panama,2022-09-01,
9282522,Panama,2004-09-01,2020-03-01
9282522,Belize,2020-03-01,2024-04-01
9282522,Not Known,2024-04-01,2024-05-01
9282522,Comoros,2024-05-01,
9282986,Marshall Islands,2004-02-01,2008-01-01
9282986,Denmark (DIS),2008-01-01,2019-12-01
9282986,Marshall Islands,2019-12-01,2023-01-01
9282986,Sierra leone,2023-01-01,2023-02-01
9282986,Russia,2023-02-01,
9283241,Spain,2004-10-01,2018-02-01
9283241,Liberia,2018-02-01,2023-09-01
9283241,Russia,2023-09-01,
9283289,Singapore,2005-08-01,2020-10-01
9283289,Panama,2020-10-01,
9283291,Singapore,2005-04-01,2020-06-01
9283291,Marshall Islands,2020-06-01,2022-12-01
9283291,Liberia,2022-12-01,2023-07-01
9283291,Palau (Republic of),2023-07-01,2024-04-01
9283291,Cook islands,2024-04-01,
9284116,Azerbaijan,2005-10-01,
9284130,Azerbaijan,2004-10-01,
9284582,Malaysia,2004-01-01,2021-12-01
9284582,Vietnam,2021-12-01,
9284594,Malaysia,2002-01-01,2021-12-01
9284594,Vietnam,2021-12-01,
9284726,Panama,2004-10-01,2014-11-01
9284726,Norway (NIS),2014-11-01,2016-06-01
9284726,"Hong Kong, China",2016-06-01,2023-12-01
9284726,Palau (Republic of),2023-12-01,
9285835,Isle of Man,2005-05-01,2011-06-01
9285835,Bahamas,2011-06-01,2019-06-01
9285835,Liberia,2019-06-01,2021-03-01
9285835,Marshall Islands,2021-03-01,2023-06-01
9285835,Cook islands,2023-06-01,
9285847,Isle of Man,2005-07-01,2011-09-01
9285847,Bahamas,2011-09-01,2019-05-01
9285847,Liberia,2019-05-01,2021-03-01
9285847,Marshall Islands,2021-03-01,2024-03-01
9285847,Panama,2024-03-01,
9285859,Isle of Man,2006-01-01,2012-03-01
9285859,Bahamas,2012-03-01,2019-04-01
9285859,Liberia,2019-04-01,2021-12-01
9285859,Marshall Islands,2021-12-01,2023-06-01
9285859,Cook islands,2023-06-01,2024-07-01
9285859,Honduras,2024-07-01,
9286023,Liberia,2004-07-01,2005-05-01
9286023,Marshall Islands,2005-05-01,2014-03-01
9286023,Greece,2014-03-01,2020-02-01
9286023,Liberia,2020-02-01,2023-02-01
9286023,Marshall Islands,2023-02-01,2024-03-01
9286023,Guinea-Bissau,2024-03-01,
9286657,Liberia,2005-10-01,2023-04-01
9286657,Cook islands,2023-04-01,2024-09-01
9286657,Barbados,2024-09-01,
9288356,Isle of Man,2005-09-01,2023-03-01
9288356,Marshall Islands,2023-03-01,2024-03-01
9288356,Barbados,2024-03-01,
9288693,Greece,2004-10-01,2023-01-01
9288693,Cook islands,2023-01-01,2024-08-01
9288693,Honduras,2024-08-01,
9288708,Greece,2005-01-01,2022-05-01
9288708,Liberia,2022-05-01,2022-12-01
9288708,Cook islands,2022-12-01,2024-09-01
9288708,Honduras,2024-09-01,
9288710,Greece,2005-01-01,2020-04-01
9288710,Liberia,2020-04-01,2022-12-01
9288710,Cook islands,2022-12-01,
9288722,Greece,2005-03-01,2020-05-01
9288722,Liberia,2020-05-01,2023-01-01
9288722,Cook islands,2023-01-01,
9288734,Malta,2005-01-01,2024-03-01
9288734,Cook islands,2024-03-01,
9288746,Malta,2005-01-01,2022-12-01
9288746,St.Kitts and Nevis,2022-12-01,2023-04-01
9288746,Gabon,2023-04-01,
9288851,Liberia,2004-10-01,2004-10-01
9288851,Germany,2004-10-01,2012-10-01
9288851,Malta,2012-10-01,2018-12-01
9288851,Marshall Islands,2018-12-01,2018-12-01
9288851,Germany,2018-12-01,2022-07-01
9288851,Liberia,2022-07-01,2024-03-01
9288851,Gabon,2024-03-01,
9288899,Spain,2005-07-01,2019-01-01
9288899,Liberia,2019-01-01,2023-03-01
9288899,Cook islands,2023-03-01,2024-08-01
9288899,Barbados,2024-08-01,
9288930,Marshall Islands,2004-04-01,2008-01-01
9288930,Denmark (DIS),2008-01-01,2020-01-01
9288930,Marshall Islands,2020-01-01,2023-01-01
9288930,Sierra leone,2023-01-01,2023-02-01
9288930,Russia,2023-02-01,
9288980,Malta,2003-01-01,2004-02-01
9288980,Russia,2004-02-01,2005-06-01
9288980,Russia,2005-06-01,
9288992,Malta,2003-01-01,2004-02-01
9288992,Russia,2004-02-01,2005-06-01
9288992,Russia,2005-06-01,
9289001,Russia,2004-01-01,2004-01-01
9289001,Malta,2004-01-01,2005-07-01
9289001,Russia,2005-07-01,2005-07-01
9289001,Russia,2005-07-01,
9289518,Bahamas,2005-01-01,2023-02-01
9289518,Cook islands,2023-02-01,
9289520,Bahamas,2005-04-01,2023-01-01
9289520,Cook islands,2023-01-01,2024-07-01
9289520,Not Known,2024-07-01,2024-08-01
9289520,Barbados,2024-08-01,
9289532,Bahamas,2005-05-01,2023-02-01
9289532,Cook islands,2023-02-01,
9289738,Liberia,2005-02-01,2024-01-01
9289738,Gabon,2024-01-01,
9289752,Singapore,2005-06-01,2014-01-01
9289752,Marshall Islands,2014-01-01,2023-03-01
9289752,Gabon,2023-03-01,
9289776,Singapore,2005-07-01,2014-01-01
9289776,Marshall Islands,2014-01-01,2023-02-01
9289776,St.Kitts and Nevis,2023-02-01,2023-04-01
9289776,Panama,2023-04-01,
9290309,Panama,2004-01-01,2009-10-01
9290309,Isle of Man,2009-10-01,2013-04-01
9290309,Malta,2013-04-01,2022-10-01
9290309,Panama,2022-10-01,
9290335,Liberia,2004-01-01,2004-10-01
9290335,Greece,2004-10-01,2023-02-01
9290335,St.Kitts and Nevis,2023-02-01,2023-04-01
9290335,Gabon,2023-04-01,
9290373,Turkey,2005-05-01,2018-08-01
9290373,Malta,2018-08-01,2022-04-01
9290373,Marshall Islands,2022-04-01,2023-07-01
9290373,Liberia,2023-07-01,2024-02-01
9290373,Panama,2024-02-01,
9290517,Cyprus,2005-09-01,2006-01-01
9290517,Italy,2006-01-01,2023-02-01
9290517,St.Kitts and Nevis,2023-02-01,2023-04-01
9290517,Mongolia,2023-04-01,2023-05-01
9290517,Not Known,2023-05-01,2023-06-01
9290517,Gabon,2023-06-01,
9290828,Norway (NIS),2005-01-01,2010-01-01
9290828,Marshall Islands,2010-01-01,2023-02-01
9290828,Gabon,2023-02-01,
9290921,Greece,2005-01-01,2007-02-01
9290921,Greece,2007-02-01,2017-01-01
9290921,Bahamas,2017-01-01,2022-01-01
9290921,Marshall Islands,2022-01-01,2023-03-01
9290921,Palau (Republic of),2023-03-01,
9291250,Bahamas,2005-08-01,2009-05-01
9291250,Liberia,2009-05-01,2022-06-01
9291250,Marshall Islands,2022-06-01,2024-03-01
9291250,Guinea-Bissau,2024-03-01,
9291640,Bahamas,2005-08-01,2023-02-01
9291640,Cook islands,2023-02-01,
9292034,Liberia,2004-12-01,2024-01-01
9292034,Gabon,2024-01-01,
9292046,Liberia,2005-09-01,2024-01-01
9292046,Gabon,2024-01-01,
9292058,Liberia,2006-05-01,2024-01-01
9292058,Gabon,2024-01-01,
9292060,Liberia,2006-10-01,2024-01-01
9292060,Gabon,2024-01-01,
9292199,Turkey,2005-07-01,2018-08-01
9292199,Malta,2018-08-01,2022-06-01
9292199,Marshall Islands,2022-06-01,2023-08-01
9292199,Liberia,2023-08-01,2024-02-01
9292199,Panama,2024-02-01,
9292204,Liberia,2005-06-01,2024-01-01
9292204,Gabon,2024-01-01,2024-08-01
9292204,Barbados,2024-08-01,
9292503,Bahamas,2005-01-01,2022-04-01
9292503,Liberia,2022-04-01,2024-03-01
9292503,Antigua and Barbuda,2024-03-01,
9292577,Singapore,2005-07-01,2005-08-01
9292577,Panama,2005-08-01,2017-08-01
9292577,Liberia,2017-08-01,2023-06-01
9292577,Panama,2023-06-01,
9292589,Singapore,2005-12-01,2021-07-01
9292589,Marshall Islands,2021-07-01,2024-03-01
9292589,Panama,2024-03-01,
9292620,Bahamas,2005-08-01,2023-03-01
9292620,Cook islands,2023-03-01,
9292838,Liberia,2005-04-01,2017-05-01
9292838,Saudi Arabia,2017-05-01,2023-05-01
9292838,Panama,2023-05-01,2024-07-01
9292838,Sierra leone,2024-07-01,
9292967,Bahamas,2005-11-01,2023-02-01
9292967,Cook islands,2023-02-01,
9293002,Malta,2005-04-01,2007-09-01
9293002,Greece,2007-09-01,2011-06-01
9293002,Marshall Islands,2011-06-01,2014-06-01
9293002,Malta,2014-06-01,2020-08-01
9293002,Liberia,2020-08-01,2023-01-01
9293002,St.Kitts and Nevis,2023-01-01,2023-05-01
9293002,Not Known,2023-05-01,2023-05-01
9293002,Mongolia,2023-05-01,2023-07-01
9293002,Gabon,2023-07-01,
9293117,Marshall Islands,2005-04-01,2005-04-01
9293117,Germany,2005-04-01,2019-12-01
9293117,Marshall Islands,2019-12-01,2019-12-01
9293117,Germany,2019-12-01,2022-04-01
9293117,Liberia,2022-04-01,2024-02-01
9293117,Antigua and Barbuda,2024-02-01,
9293155,Panama,2005-01-01,2015-04-01
9293155,Liberia,2015-04-01,2021-05-01
9293155,Marshall Islands,2021-05-01,2023-12-01
9293155,Panama,2023-12-01,
9293337,Spain,2004-09-01,2021-04-01
9293337,Malta,2021-04-01,2023-03-01
9293337,Panama,2023-03-01,2023-12-01
9293337,Liberia,2023-12-01,
9293959,Marshall Islands,2006-05-01,2010-10-01
9293959,Italy,2010-10-01,2012-02-01
9293959,Marshall Islands,2012-02-01,2022-09-01
9293959,Liberia,2022-09-01,
9293997,Italy,2006-01-01,2018-12-01
9293997,Malta,2018-12-01,2022-09-01
9293997,Liberia,2022-09-01,2024-03-01
9293997,Gabon,2024-03-01,
9294123,Italy,2006-01-01,2015-02-01
9294123,Panama,2015-02-01,2023-03-01
9294123,St.Kitts and Nevis,2023-03-01,2023-05-01
9294123,Not Known,2023-05-01,2023-05-01
9294123,Mongolia,2023-05-01,2023-06-01
9294123,Cook islands,2023-06-01,
9296391,Liberia,2006-09-01,2014-04-01
9296391,Marshall Islands,2014-04-01,2022-10-01
9296391,Panama,2022-10-01,2023-05-01
9296391,Cook islands,2023-05-01,
9296406,Liberia,2006-10-01,2023-01-01
9296406,St.Kitts and Nevis,2023-01-01,2023-04-01
9296406,Gabon,2023-04-01,
9296585,Panama,2005-02-01,2008-02-01
9296585,Liberia,2008-02-01,2009-06-01
9296585,Panama,2009-06-01,2022-09-01
9296585,Liberia,2022-09-01,2022-09-01
9296585,Liberia,2022-09-01,2024-04-01
9296585,Not Known,2024-04-01,
9296597,Singapore,2005-08-01,2018-03-01
9296597,Singapore,2018-03-01,2018-03-01
9296597,Marshall Islands,2018-03-01,2018-10-01
9296597,Marshall Islands,2018-10-01,2023-05-01
9296597,Palau (Republic of),2023-05-01,
9296810,Panama,2005-01-01,2019-12-01
9296810,Indonesia,2019-12-01,2023-02-01
9296810,Panama,2023-02-01,
9296822,Germany,2005-04-01,2005-04-01
9296822,Liberia,2005-04-01,2005-04-01
9296822,Germany,2005-04-01,2022-06-01
9296822,Panama,2022-06-01,
9297199,Russia,2004-05-01,2004-05-01
9297199,Malta,2004-05-01,2013-11-01
9297199,Russia,2013-11-01,2013-11-01
9297199,Malta,2013-11-01,
9297345,Isle of Man,2005-11-01,2018-10-01
9297345,Marshall Islands,2018-10-01,2022-11-01
9297345,Liberia,2022-11-01,
9297357,Isle of Man,2006-02-01,2018-12-01
9297357,Marshall Islands,2018-12-01,2022-12-01
9297357,St.Kitts and Nevis,2022-12-01,2023-05-01
9297357,Panama,2023-05-01,
9297371,Isle of Man,2006-05-01,2018-12-01
9297371,Marshall Islands,2018-12-01,2022-11-01
9297371,St.Kitts and Nevis,2022-11-01,2023-04-01
9297371,Panama,2023-04-01,
9297888,Bahamas,2006-01-01,2017-12-01
9297888,Malta,2017-12-01,2023-11-01
9297888,Panama,2023-11-01,
9298272,Marshall Islands,2005-01-01,2019-07-01
9298272,Cyprus,2019-07-01,2023-01-01
9298272,Marshall Islands,2023-01-01,2023-03-01
9298272,Palau (Republic of),2023-03-01,
9298492,Italy,2005-05-01,2011-05-01
9298492,Marshall Islands,2011-05-01,2022-11-01
9298492,Panama,2022-11-01,
9299123,Bermuda,2005-12-01,2022-09-01
9299123,Liberia,2022-09-01,2022-11-01
9299123,St.Kitts and Nevis,2022-11-01,2023-04-01
9299123,Not Known,2023-04-01,2023-05-01
9299123,Panama,2023-05-01,
9299173,Turkey,2004-01-01,2004-10-01
9299173,Italy,2004-10-01,2004-10-01
9299173,St Vincent and Grenadines,2004-10-01,2013-03-01
9299173,Luxembourg,2013-03-01,2013-08-01
9299173,Russia,2013-08-01,2013-08-01
9299173,Russia,2013-08-01,2013-08-01
9299173,St Vincent and Grenadines,2013-08-01,2021-06-01
9299173,Russia,2021-06-01,
9299666,Greece,2005-01-01,2011-07-01
9299666,Liberia,2011-07-01,2024-01-01
9299666,Gabon,2024-01-01,
9299678,Greece,2005-09-01,2017-06-01
9299678,Malta,2017-06-01,2024-05-01
9299678,Cook islands,2024-05-01,
9299692,Liberia,2005-04-01,2024-01-01
9299692,Gabon,2024-01-01,
9299719,Liberia,2005-07-01,2024-01-01
9299719,Russia,2024-01-01,
9299721,Qatar,2006-01-01,2007-01-01
9299721,India,2007-01-01,2012-07-01
9299721,Singapore,2012-07-01,2015-04-01
9299721,Panama,2015-04-01,2017-10-01
9299721,Liberia,2017-10-01,2022-09-01
9299721,Panama,2022-09-01,
9299733,Qatar,2006-01-01,2021-06-01
9299733,Marshall Islands,2021-06-01,2023-03-01
9299733,Gabon,2023-03-01,
9299745,Qatar,2006-05-01,2021-06-01
9299745,Marshall Islands,2021-06-01,2023-02-01
9299745,Liberia,2023-02-01,2024-02-01
9299745,Eswatini FALSE,2024-02-01,
9299769,Qatar,2005-09-01,2006-10-01
9299769,Liberia,2006-10-01,2023-12-01
9299769,Palau (Republic of),2023-12-01,2024-04-01
9299769,Cook islands,2024-04-01,2024-08-01
9299769,Panama,2024-08-01,
9299862,Cyprus,2006-02-01,2022-11-01
9299862,St.Kitts and Nevis,2022-11-01,2023-05-01
9299862,Gabon,2023-05-01,2023-05-01
9299862,Mongolia,2023-05-01,
9299874,Panama,2005-10-01,2008-12-01
9299874,Saudi Arabia,2008-12-01,2023-11-01
9299874,Marshall Islands,2023-11-01,2024-03-01
9299874,Panama,2024-03-01,
9299886,Panama,2005-10-01,2008-08-01
9299886,Saudi Arabia,2008-08-01,2023-11-01
9299886,Marshall Islands,2023-11-01,2024-03-01
9299886,Panama,2024-03-01,
9299898,Greece,2005-05-01,2020-09-01
9299898,Niue,2020-09-01,2020-10-01
9299898,Indonesia,2020-10-01,2023-02-01
9299898,Cook islands,2023-02-01,
9299903,Greece,2005-06-01,2020-08-01
9299903,Indonesia,2020-08-01,2020-08-01
9299903,Niue,2020-08-01,2024-03-01
9299903,Panama,2024-03-01,
9301380,Cyprus,2005-10-01,2011-02-01
9301380,Liberia,2011-02-01,2015-01-01
9301380,Cyprus,2015-01-01,2022-12-01
9301380,Panama,2022-12-01,
9301392,Cyprus,2005-10-01,2022-11-01
9301392,Panama,2022-11-01,
9301407,Cyprus,2005-11-01,2022-11-01
9301407,Panama,2022-11-01,
9301419,Liberia,2005-11-01,2007-06-01
9301419,Cyprus,2007-06-01,2022-12-01
9301419,Panama,2022-12-01,
9301421,Liberia,2005-12-01,2007-06-01
9301421,Cyprus,2007-06-01,2022-11-01
9301421,Panama,2022-11-01,
9301524,Norway (NIS),2006-07-01,2021-07-01
9301524,Vietnam,2021-07-01,2021-07-01
9301524,Vietnam,2021-07-01,
9302126,Marshall Islands,2005-07-01,2008-07-01
9302126,Denmark (DIS),2008-07-01,2022-04-01
9302126,Liberia,2022-04-01,2024-01-01
9302126,Antigua and Barbuda,2024-01-01,
9304356,"Hong Kong, China",2005-09-01,2020-07-01
9304356,Vanuatu,2020-07-01,2022-08-01
9304356,Panama,2022-08-01,2024-02-01
9304356,Comoros,2024-02-01,
9304629,Liberia,2007-10-01,2007-10-01
9304629,Germany,2007-10-01,2014-04-01
9304629,Marshall Islands,2014-04-01,2014-04-01
9304629,Germany,2014-04-01,2022-12-01
9304629,Liberia,2022-12-01,2024-03-01
9304629,Belize,2024-03-01,2024-05-01
9304629,Panama,2024-05-01,
9304825,"Hong Kong, China",2006-05-01,2014-03-01
9304825,Malta,2014-03-01,2022-12-01
9304825,St.Kitts and Nevis,2022-12-01,2023-04-01
9304825,Gabon,2023-04-01,
9305568,Liberia,2005-12-01,2024-01-01
9305568,Gabon,2024-01-01,
9305609,Greece,2006-05-01,2022-04-01
9305609,Panama,2022-04-01,
9306457,Liberia,2005-06-01,2020-07-01
9306457,Marshall Islands,2020-07-01,
9306562,Cyprus,2005-06-01,2007-09-01
9306562,Greece,2007-09-01,2023-02-01
9306562,Marshall Islands,2023-02-01,2024-03-01
9306562,Guinea-Bissau,2024-03-01,
9306627,Norway (NIS),2007-04-01,2009-10-01
9306627,Denmark (DIS),2009-10-01,2011-06-01
9306627,Singapore,2011-06-01,2012-12-01
9306627,Marshall Islands,2012-12-01,2017-11-01
